,Unnamed: 0.1,Unnamed: 0,NAPRORE_ID,SMILES,NAME,SOURCE_SPECIES,REFERENCE,NPC_PATHWAY_1,NPC_PATHWAY_2,NPC_PATHWAY_3,NPC_SUPERCLASS_1,NPC_SUPERCLASS_2,NPC_SUPERCLASS_3,NPC_CLASS_1,NPC_CLASS_2,NPC_CLASS_3,NPC_IS_GLYCOSIDE,NUM_ATOMS,NUM_BONDS,MOL_WT,HBD_COUNT,HBA_COUNT,ROTABLE_BONDS,LOGP,TPSA,AROMATIC_RING_COUNT,ACID_GROUP_COUNT,BASE_GROUP_COUNT,IONIZABLE
0,0,0,1,OC(C(C(C(COC(c(c(-c(c(O)c1O)c2cc1O)c1O)cc(O)c1O)=O)O)OC2=O)OC(c(cc1O)cc(O)c1O)=O)C=O,['Gemin D'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Gallotannins,,,False,45,48,634.4550000000004,11,18,5,-0.4539000000000008,318.49999999999994,3,9,0,Ionizable
1,1,1,2,O=C(OC1OC(CO)C2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC1C2O)c1cc(O)c(O)c(O)c1,['Phyllanemblinin B'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Gallotannins,,,True,45,49,634.4550000000004,11,18,3,-0.2965000000000011,310.66,3,9,0,Ionizable
2,2,2,3,O=C(OC1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC(C2O)C1O)c1cc(O)c(O)c(O)c1,['Corilagin'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Gallotannins,,,True,45,49,634.4550000000004,11,18,2,-0.2965000000000006,310.66,3,9,0,Ionizable
3,3,3,4,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1cc(O)c(O)c(O)c1)C(O)C2,['Prodelphinidin B dimer'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Proanthocyanins,,,False,44,49,610.5240000000003,12,14,3,2.406200000000002,261.22,4,11,0,Ionizable
4,4,4,5,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2,['(epi)galocatequina'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Flavan-3-ols,,,False,22,24,306.27000000000004,6,7,1,1.2517,130.61,2,5,0,Ionizable
5,5,5,6,O=C1OC2C3COC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)OC2C(OC(=O)c2cc(O)c(O)c4c2C2C1=CC(=O)C(O)(O4)C2(O)O)C(OC(=O)c1cc(O)c(O)c(O)c1)O3,['Geraniin'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Gallotannins,,,True,68,76,952.6480000000006,14,27,2,-1.1015000000000008,450.2500000000001,4,11,0,Ionizable
6,6,6,7,O=C(OC1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC3C2OC(=O)C2(O)CC(O)C4(O)Oc5c(O)c(O)cc(c5C24)C(=O)OC13)c1cc(O)c(O)c(O)c1,['Phyllanthusiin C'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Gallotannins,,,True,66,74,926.6540000000005,14,26,2,-0.7958000000000007,433.1800000000001,4,12,0,Ionizable
7,7,7,8,COc1cc2c(=O)oc3c(OC)c(OC)cc4c(=O)oc(c1O)c2c34,['O-trimethyl ellagic acid'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Coumarins,,,,,,False,25,28,344.2750000000001,1,8,3,2.2218000000000004,108.34,4,2,0,Ionizable
8,8,8,9,COc1cc(C=CC(=O)O)ccc1O,['Ferulic acid'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,False,14,14,194.186,2,3,3,1.4986,66.76,1,3,0,Ionizable
9,9,9,10,COc1cc(/C=C/C(=O)O[C@@H]2C[C@@](OC(=O)/C=C/c3ccc(O)c(O)c3)(C(=O)O)C[C@@H](O)[C@@H]2O)ccc1O,['1-Caffeoyl-5-feruloylquinic acid'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,False,38,40,530.4820000000002,6,11,8,1.3325999999999998,200.28,2,5,0,Ionizable
10,10,10,11,O=C(C=Cc1ccc(O)c(O)c1)OC1(C(=O)O)CC(O)C(O)C(O)C1,['Caffeoylquinic acid isomer'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,False,25,26,354.31100000000004,6,8,4,-0.6459000000000006,164.75,1,3,0,Ionizable
11,11,11,12,COc1cc(C=CC(=O)OC2C(O)CC(O)(C(=O)O)CC2O)ccc1O,['Feruloylquinic acid isomer'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,False,26,27,368.3380000000001,5,8,5,-0.3429000000000003,153.75,1,3,0,Ionizable
12,12,12,13,COc1cc(/C=C/C(=O)O[C@@H]2C[C@](O)(C(=O)O)C[C@@H](O)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)ccc1O,['Caffeoylferuloylquinic acid'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,False,38,40,530.4820000000002,6,11,8,1.3325999999999996,200.28,2,5,0,Ionizable
13,13,13,14,O=C(C=Cc1ccc(O)cc1)OC1CC(O)(C(=O)O)CC(O)C1O,['p-coumaroylquinic acid isomer'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,False,24,25,338.312,5,7,4,-0.3515000000000003,144.52,1,2,0,Ionizable
14,14,14,15,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,['Quercentin'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Flavonols,,,False,22,24,302.23800000000006,5,7,1,1.988,131.36,3,4,0,Ionizable
15,15,15,16,Oc1cc(O)c2c(c1)OC1(c3ccc(O)c(O)c3)Oc3cc(O)c4c(c3C2C1O)OC(c1ccc(O)c(O)c1)C(O)C4,['Procyanidin dimer A'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Proanthocyanins,,,False,42,48,576.5100000000003,9,12,2,2.7935000000000016,209.76,4,8,0,Ionizable
16,16,16,17,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2,['Procyanidin B-type dimer'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Proanthocyanins,,,False,42,47,578.5260000000003,10,12,3,2.9950000000000028,220.76,4,9,0,Ionizable
17,17,17,18,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2,['Procyanidin B-type tetramer'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Proanthocyanins,,,False,84,95,1155.0360000000007,20,24,7,5.892800000000023,441.52000000000015,8,19,0,Ionizable
18,18,18,19,Oc1cc(O)c2c(c1)OC1(c3ccc(O)c(O)c3)Oc3cc(O)c4c(c3C2C1O)OC(c1ccc(O)c(O)c1)C(O)C4c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2,['Procyanidin A-type trimer'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Proanthocyanins,,,False,63,72,864.7650000000004,14,18,4,4.242400000000013,320.14,6,13,0,Ionizable
19,19,19,20,O=C(O)C1(O)CC(O)C(O)C(O)C1,['Quinic acid'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Shikimic acids and derivatives,Simple phenolic acids,,False,13,13,192.167,5,5,1,-2.321400000000001,118.22,0,1,0,Ionizable
20,20,20,21,O=C(O)c1ccccc1,"['Benzoic acid', 'Benzoic acid']","['Petiveria alliaceae', 'Posoqueria latifolia']","['https://doi.org/10.3390/plants6040050', 'Tesis WZ ']",Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Simple phenolic acids,,,False,9,9,122.12299999999996,1,1,1,1.3848,37.3,1,1,0,Ionizable
21,21,21,22,O=C(O)c1ccccc1O,"['Salicylic acid', 'Salicylic acid', 'Salicylic acid']","['Petiveria alliaceae', 'Phyllanthus niruri', 'Senna reticulata']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050']",Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Simple phenolic acids,,,False,10,10,138.122,2,2,1,1.0903999999999998,57.53,1,2,0,Ionizable
