code_name,SMILES,response,total energy,HOMO-LUMO gap/eV,electronic energy,Dipole module/D,Total charge,HOMO,LUMO,Fermi-level/eV,Total dispersion C6,Total dispersion C8,Total polarizability alpha,Total FOD,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
1_2.4-Dichlorophenoxyacetic acid,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,0,-31.96136105,3.994912202,-32.49373194,1.535184001,0,-9.913821709,-5.91887649,-7.916346357,6275.655044,142894.9701,123.5116148,0.056050206,7.968171296,7.968171296,0.76105248,-3.835442649,0.650643457,35.18181818,149.237,134.117,149.1204495,60,0,0.118379136,-0.33047331,0.33047331,0.118379136,1.363636364,2.181818182,2.909090909,2.496738898,3.802988375,679.8640338,21.04145188,20.4472136,5.447213595,11.36880215,10.11803399,2.723606798,1.486803399,1.486803399,0.805901699,0.805901699,0.43420085,0.43420085,-0.82,135897.4982,1.353074436,4.914345448,3.190046349,89.42173304,5.719716976,2.823684157,0,0,0,0,0,0,0,0,30.21209354,31.17908588,10.96606845,6.853792781,20.64354539,0,0,0,5.719716976,19.1187747,6.496859684,35.77554503,0,0,5.719716976,0,0,0,6.496859684,6.372924901,0,36.12916252,30.21209354,2.823684157,0,0,26.02,67.11089639,0,0,0,0,0,0,0,0,0,20.64354539,113.8321837,0,0,0,-1.946528198,0,-4.995061663,-11.2628001,-3.627793722,0,0.4,11,2,1,0,0,0,1,0,1,1,1,1,5,0,0,0,1,1.968,48.4344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_4-Phenylbutylamine,C1=CC=C(C=C1)CCCCN,1,-38.83141144,4.286016225,-39.40090074,1.876270558,0,-10.69191254,-6.405872374,-8.548906183,7312.011355,169467.6715,132.1779182,0.052672017,11.40439452,11.40439452,0.887745192,-3.96772782,0.703145924,29.53846154,178.231,164.119,178.0993797,70,0,0.302839754,-0.481230389,0.481230389,0.302839754,1.461538462,2.230769231,2.923076923,2.561493747,3.805338551,741.8124409,21.74855867,20.31649658,6.316496581,11.90680696,10.06649658,3.15824829,1.787457479,1.787457479,0.914562073,0.914562073,0.488531036,0.488531036,-1.31,236630.7924,2.024145433,5.355726157,4.307351978,97.9681268,5.108808191,0,0,0,1.431199657,5.969305288,4.794537184,0,0,0,30.21209354,24.6822262,17.33899335,6.853792781,27.72320661,5.969305288,1.431199657,0,0,25.49169961,0,35.77554503,0,0,0,0,0,0,11.07811348,11.16746209,0,42.50208743,30.21209354,0,1.431199657,0,37.3,67.23654992,4.794537184,0,0,0,0,0,0,0,5.108808191,19.25106089,106.3658915,0,11.40439452,3.364385346,-1.238503874,-2.13126286,-5.176414409,-15.42182351,0,0,0.363636364,13,1,2,0,0,0,1,0,1,2,1,2,5,0,0,0,1,2.484,51.6328,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_5-Phenylvaleric acid,C1=CC=C(C=C1)CCCCC(=O)O,1,-70.6299272,3.254900777,-71.52805724,4.477422452,0,-9.466979969,-6.212064726,-7.839506472,21494.1996,503308.9864,222.7658075,0.142905903,12.65709861,12.65709861,0.682766991,-4.263967191,0.629185047,71.41666667,327.38,306.212,327.1470582,126,0,0.30285655,-0.504246653,0.504246653,0.30285655,1.666666667,2.625,3.458333333,3.149475067,2.191448965,1603.534658,34.89482304,32.58020676,11.58020676,19.91844419,17.05381356,6.645565265,5.228898598,5.228898598,4.040075648,4.040075648,3.159010429,3.159010429,-2.01,1298431018,4.387723142,4.538403825,1.559454261,169.9964537,19.48244383,6.080018027,17.57904169,0,1.431199657,5.969305288,4.794537184,0,0,0,12.09449045,43.87647833,48.93280402,8.224551337,46.79224241,5.969305288,1.431199657,4.899909731,5.893957685,43.19066091,13.47268658,35.31588389,0,11.49902367,4.736862954,0,11.49902367,0,49.05983797,21.31931551,5.893957685,51.76689113,24.18898091,0,0,0,59,120.2414278,8.906812853,0,0,0,0,0,0,0,5.108808191,34.20782102,190.061426,0,11.97433162,4.368058784,-6.623153856,-8.871254645,-10.48706221,-16.40423489,-12.01811083,0,0.526315789,24,1,5,2,2,4,1,0,1,5,1,5,4,0,1,1,5,1.7689,87.1238,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4_6-Acetylmorphine,CC(=O)OC1C=CC2C3CC4=C5C2(C1OC5=C(C=C4)O)CCN3C,0,-74.94966766,2.791985283,-75.91342712,3.540697775,0,-9.774075019,-6.982053896,-8.37806446,24698.51648,552445.9533,238.3201158,0.199660125,13.08620694,13.08620694,0.878210847,-4.630292301,0.571013743,35.54166667,336.432,308.208,336.2049074,134,0,0.223858453,-0.490079574,0.490079574,0.223858453,1.583333333,2.458333333,3.166666667,2.945436638,4.258126245,1529.341622,42.18771625,39.52742035,11.52742035,22.51861428,19.4677234,5.665047917,3.529272937,3.529272937,1.889781117,1.889781117,1.087050174,1.087050174,-1.92,6018114371,3.912115261,10.05099875,7.103162169,182.6832136,20.46529785,19.80035718,7.195087025,7.338379387,0,0,9.589074368,0,0,0,20.55567635,31.35207314,50.6194759,13.78800283,56.52739357,17.37781095,1.431199657,5.309813353,0,52.25132877,18.36565828,23.69070761,0,5.749511833,15.35648966,5.687386275,5.749511833,0,43.38418795,4.794537184,0,84.78037085,18.12725612,2.823684157,0,0,87.66,122.7448308,9.589074368,0,0,0,0,0,0,0,5.108808191,43.26071067,221.6712729,0,26.05546314,1.658858561,-3.628357142,-6.774294737,-9.817154049,-12.95202791,-25.38042741,0,0.555555556,24,3,6,0,0,0,1,0,1,5,3,6,15,0,0,0,1,2.3655,94.6247,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5_Acebutolol,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,1,-54.86456129,3.779154599,-55.64679735,1.795597061,0,-9.805926622,-6.026798144,-7.916359851,15344.73779,345560.4189,190.6398352,0.077317248,8.253505816,8.253505816,1.152421021,-4.427443022,0.693680774,37.05555556,249.354,226.17,249.172879,100,0,0.210690407,-0.490546942,0.490546942,0.210690407,1.888888889,2.777777778,3.555555556,2.811563362,4.087206282,1169.208572,33.11036599,31.76371018,8.763710176,17.92929788,15.66504792,4.309586031,2.559586031,2.559586031,1.355634265,1.355634265,0.754969092,0.754969092,-1.32,74921573.28,2.604622789,7.901273603,5.340871756,141.9429687,15.1554845,19.80035718,0,1.431199657,0,0,0,0,0,6.531038962,37.8831121,17.9787951,27.59309627,13.70758556,40.0434429,0,1.431199657,5.309813353,0,32.17461963,13.05584493,42.31623703,0,5.749511833,10.04667631,0,5.749511833,0,31.69376327,6.372924901,0,48.05316541,36.75278554,1.411842078,0,0,41.49,98.60602678,0,0,0,0,0,0,0,0,5.108808191,36.36583437,183.3923338,0,0,2.70128179,-1.412205727,-1.567791556,-10.83593855,-7.89573582,-18.29861056,0,0.466666667,18,2,3,0,0,0,1,0,1,3,2,3,11,0,0,0,1,2.1528,74.9835,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6_Alprenolol,CC(C)NCC(COC1=CC=CC=C1CC=C)O,1,-91.0884438,1.200851204,-92.31481224,3.297880088,0,-9.331358745,-8.130511965,-8.730951789,51242.90698,1638248.049,357.5307289,0.509255462,14.59735983,14.59735983,0.755956926,-4.424744847,0.167647246,29.58064516,645.319,616.087,645.0236898,166,0,0.196750409,-0.490030676,0.490030676,0.196750409,1.193548387,1.935483871,2.64516129,3.469188588,2.45919849,2163.558389,47.65181787,43.92788741,19.242884,26.26248456,22.31940559,9.976903884,5.171467665,7.328965956,3.429277344,4.948423985,2.205020886,4.019995779,-1.13,4.30509E+11,6.719271457,11.65159693,5.815185868,252.2815761,14.05392362,23.65176464,5.783244946,0,0,0,4.794537184,0,0,0,45.05585738,82.67564165,52.60538997,23.66988448,53.7005492,61.93423056,0,4.899909731,0,39.67445106,26.0495643,60.28202719,0,5.749511833,4.736862954,0,5.749511833,45.18174125,36.73271897,6.372924901,7.140364542,94.73521187,40.67166318,0,10.96924436,0,42.68,153.4079534,4.794537184,0,0,0,0,45.18174125,0,0,0,48.90601202,243.9949617,2.378186189,13.55811501,-0.989871109,-3.522540691,-4.410016912,-6.67788907,-12.35111818,-29.23982697,0,0.4,31,0,4,0,0,0,2,1,3,4,0,6,14,0,0,0,3,6.9362,143.4175,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7_Amiodarone,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,1,-57.46188649,3.100335419,-58.46078121,1.168758832,0,-9.412426392,-6.312113967,-7.862269395,20814.28639,493178.2042,227.3572878,0.158487095,8.847836829,8.847836829,0.833482274,-4.199864182,0.813678389,36.80952381,277.411,254.227,277.1830497,108,0,0.062934266,-0.309091689,0.309091689,0.062934266,1.142857143,1.714285714,2.285714286,2.895915951,2.821451388,1478.91748,34.66025404,33.4472136,10.4472136,19.42820323,17.17082039,5.670820393,3.822213595,3.822213595,2.542705098,2.542705098,1.708852549,1.708852549,-1.86,480907502.3,3.232599052,6.27595503,3.084627321,159.7867552,4.899909731,0,0,0,0,0,0,0,0,0,54.39142141,60.897339,25.68747947,12.33682701,31.52744679,5.57310453,0,4.899909731,0,19.1187747,20.44851348,76.64522737,0,0,0,0,0,0,25.34842322,12.7458498,0,60.15417766,54.39142141,0,5.57310453,0,3.24,126.6855298,0,0,0,0,0,0,0,0,0,31.52744679,189.3764107,0,-0.833482274,0,-6.174261779,0,-11.25646573,-11.31737056,-11.96149699,0,0.3,21,0,1,1,0,1,2,0,2,1,0,1,5,0,0,0,3,4.1686,90.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8_Amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,1,-86.33394437,2.31947441,-87.37886184,4.671004786,0,-9.617270826,-7.297793384,-8.457482415,31565.67761,758010.6065,272.203271,0.332055417,14.07194311,14.07194311,0.831537698,-4.518311839,0.502325911,36.21428571,408.882,383.682,408.1451996,152,0,0.336344535,-0.465580051,0.465580051,0.336344535,1.464285714,2.321428571,3.071428571,2.917229385,3.55557236,1701.758927,42.20422411,38.31363312,14.06956206,23.23626364,19.08443658,7.120760265,4.422090023,4.800054496,2.978005207,3.261478562,2.021312942,2.210295179,-2.35,13009192721,5.842255754,10.26434535,4.729428437,204.3106869,25.24011919,2.823684157,1.411842078,0,0,11.93861058,0,9.589074368,0,0,29.72819601,25.30965443,29.55335932,67.27197548,58.1918777,23.53955047,0,5.309813353,5.719716976,19.59774192,33.21176787,57.29604732,0,0,11.02953033,0,0,11.60093989,45.15037845,23.79966323,0,55.31788165,46.70996252,9.258159549,0,0,99.88,133.073698,10.95983292,0,0,0,0,0,0,0,14.21058886,44.6223958,211.1997986,6.200701057,27.76513047,-2.244329774,-11.26638657,-9.532678999,-5.503525894,0,-25.1173785,-3.890219315,0.4,28,3,7,0,1,1,1,0,1,7,2,8,12,0,0,0,2,2.2663,105.5771,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9_Amlodipine,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,1,-63.29076193,3.184281465,-64.11903883,1.556628268,0,-9.615445464,-6.43115413,-8.023253281,18467.09792,420490.2114,206.0841254,0.108636273,13.7385021,13.7385021,0.746742447,-4.627703964,0.860589945,68.85714286,289.375,266.191,289.1677936,114,0,0.315549855,-0.461723776,0.461723776,0.315549855,1.666666667,2.380952381,3,2.972529791,2.471937192,1339.946005,35.03301572,33.17195847,10.17195847,19.22993914,16.89556526,5.487316974,3.728329561,3.728329561,2.461328459,2.461328459,1.527157729,1.527157729,-1.39,432585156.1,3.412761144,6.159400244,2.965447273,157.6642306,14.74558088,11.97397571,0,1.431199657,0,5.969305288,4.794537184,0,0,0,30.21209354,38.030978,31.22640472,17.52505369,44.79689656,5.969305288,1.431199657,4.899909731,0,49.50146025,13.53481214,35.77554503,0,0,0,0,0,0,49.05983797,9.531400138,0,67.10579702,30.21209354,0,0,0,49.77,109.6810324,4.794537184,0,0,0,0,0,0,0,9.845671145,31.58788789,192.4159581,0,12.99175966,3.780155439,-1.620180487,-6.975462963,-15.18879573,-22.08654021,-8.150227104,0,0.588235294,21,1,4,0,2,2,1,0,1,4,1,4,6,0,2,2,3,1.9309,79.9558,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_Atropine,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,1,-102.2646294,3.422611413,-103.5857214,1.308024271,0,-9.302186409,-5.879628512,-7.59090858,49576.05635,1120817.026,332.3876668,0.103921017,10.70163301,10.70163301,1.425184477,-6.343839286,0.686738023,83,467.65,426.322,467.3035588,186,0,0.293293922,-0.50424666,0.50424666,0.293293922,1.352941176,2.264705882,3,3.326481767,2.063060945,2612.636164,59.36987901,57.58020676,16.58020676,32.49299992,29.96206185,9.645565265,8.336492809,8.336492809,6.561165769,6.561165769,4.978742473,4.978742473,-1.3,2.47505E+14,5.173085237,6.330274446,2.250287558,261.1426075,19.69134229,11.68106884,11.49902367,1.431199657,1.431199657,0,4.899909731,0,0,0,26.59809506,80.87404447,87.07512708,13.82560215,73.15092598,0,2.862399314,4.899909731,22.61789631,100.7330454,20.03167183,23.2117404,0,11.49902367,4.736862954,0,11.49902367,0,61.31160937,16.52477832,22.61789631,130.2316046,12.08483742,0,0,0,62.16,182.9932873,23.30289545,0,0,0,0,0,0,0,10.21761638,42.49281346,388.8412106,0,-1.425184477,8.922063576,-33.54816585,-14.6600802,-9.435560518,-41.71797405,-32.22814307,-4.998166008,0.793103448,34,2,5,5,2,7,1,0,1,5,2,5,8,4,1,5,8,4.4138,130.1996,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
